"","Pitcher","TaggedPitchType","Team","Max Velo","Max Spin","MaxVelo_percentile","MaxVelo_ranking","MaxSpin_percentile","MaxSpin_ranking"
"1","Abreu, Bryan","Fastball","HOU",101,2635,96,5,86,17
"2","Armstrong, Shawn","Fastball","TB",95.2,2434,31,84,33,81
"3","Baker, Bryan","Fastball","BAL",96,2456,46,65,45,67
"4","Berrios, Jose","Fastball","MIN",96,2358,45,66,18,99
"5","Bradford, Cody","Fastball","TEX",93.5,2262,9,110,8,111
"6","Bradish, Kyle","Fastball","BAL",96.1,2573,48,63,71,35
"7","Brasier, Ryan","Fastball","LAD",98.2,2412,76,29,31,84
"8","Brazoban, Huascar","Fastball","MIA",97.4,2209,61,47,5,115
"9","Brown, Hunter","Fastball","HOU",99.1,2450,85,18,42,70
"10","Burke, Brock","Fastball","TEX",97.1,2386,58,51,25,91
"11","Cabrera, Genesis","Fastball","TOR",99.2,2442,86,17,36,77
"12","Cecconi, Slade","Fastball","AZ",97.9,2575,73,33,72,34
"13","Chapman, Aroldis","Fastball","TEX",101.5,2532,98,3,60,48
"14","Coulombe, Danny","Fastball","BAL",92.4,2549,3,117,66,41
"15","Devenski, Chris","Fastball","TB",93.9,2325,15,103,12,107
"16","Diekman, Jake","Fastball","TB",97.1,2638,57,52,87,16
"17","Dominguez, Seranthony","Fastball","PHI",100.2,2606,93,9,80,24
"18","Duran, Jhoan","Fastball","MIN",102.9,2217,99,1,6,114
"19","Eflin, Zach","Fastball","TB",93.9,2266,14,104,9,110
"20","Elder, Bryce","Fastball","ATL",92.2,2175,2,118,2,118
"21","Eovaldi, Nathan","Fastball","TEX",98.4,2347,77,28,16,102
"22","Ferguson, Caleb","Fastball","LAD",97.1,2454,56,53,44,68
"23","Flaherty, Jack","Fastball","BAL",94.6,2407,21,96,29,86
"24","France, J.P.","Fastball","HOU",94.9,2490,25,91,52,58
"25","Frias, Luis","Fastball","AZ",97.9,2517,72,34,58,51
"26","Fried, Max","Fastball","ATL",98.2,2459,75,30,45,66
"27","Gallen, Zac","Fastball","AZ",96.6,2514,53,57,57,52
"28","Garcia, Yimi","Fastball","TOR",97.2,2623,59,50,83,21
"29","Garrett, Braxton","Fastball","MIA",93.2,2410,7,112,30,85
"30","Gausman, Kevin","Fastball","TOR",97.5,2524,63,45,59,50
"31","Gibson, Kyle","Fastball","BAL",93.8,2297,12,106,11,108
"32","Ginkel, Kevin","Fastball","AZ",97.7,2722,67,40,95,6
"33","Glasnow, Tyler","Fastball","TB",98.7,2564,83,21,68,39
"34","Graterol, Brusdar","Fastball","LAD",99.9,2163,90,12,2,119
"35","Gray, Jon","Fastball","TEX",97.8,2285,69,37,10,109
"36","Gray, Sonny","Fastball","MIN",94.4,2735,19,98,96,5
"37","Green, Chad","Fastball","TOR",96.6,2569,52,58,69,37
"38","Grove, Michael","Fastball","LAD",96.9,2442,55,55,36,78
"39","Hall, DL","Fastball","BAL",98.5,2493,79,26,53,57
"40","Hand, Brad","Fastball","ATL",94.3,2394,17,100,26,89
"41","Heaney, Andrew","Fastball","TEX",94.3,2568,17,101,69,38
"42","Hernandez, Daysbel","Fastball","ATL",96.4,2462,49,62,46,65
"43","Hicks, Jordan","Fastball","TOR",101.5,2449,97,4,41,71
